img_id,valid_inst,hard_inst,hard_ratio,is_complex,point_only_miou,adaptive_miou,improvement
2011_002520,4,0,0.0,False,0.2266,0.1413,-0.0853
2011_002301,3,2,0.6667,True,0.0611,0.2592,0.1981
2012_000807,3,1,0.3333,False,0.0583,0.199,0.1407
2010_000837,1,0,0.0,False,0.639,0.8259,0.1869
2007_005354,4,4,1.0,True,0.5981,0.873,0.2749
2008_006046,3,1,0.3333,False,0.1819,0.2138,0.0319
2010_001853,7,2,0.2857,False,0.2763,0.3486,0.0723
2010_006659,2,0,0.0,False,0.1555,0.1558,0.0003
2008_005850,3,0,0.0,False,0.2088,0.2722,0.0634
2010_003618,1,0,0.0,False,0.0038,0.0032,-0.0006
2011_005795,1,0,0.0,False,0.0412,0.0403,-0.0009
2009_000160,3,3,1.0,True,0.1344,0.5155,0.3811
2011_007029,1,0,0.0,False,0.3439,0.3453,0.0014
2007_001627,1,0,0.0,False,0.2286,0.2283,-0.0003
2010_001635,2,0,0.0,False,0.588,0.5788,-0.0092
2012_002915,1,0,0.0,False,0.4151,0.4213,0.0062
2009_001453,3,0,0.0,False,0.4184,0.4407,0.0223
2012_003380,2,0,0.0,False,0.216,0.2065,-0.0095
2008_005510,2,0,0.0,False,0.5451,0.5492,0.0041
2010_003950,1,1,1.0,True,0.8779,0.9211,0.0432
2009_002754,1,0,0.0,False,0.3531,0.3576,0.0045
2011_001822,8,8,1.0,True,0.4893,0.4993,0.01
2009_000397,8,8,1.0,True,0.2348,0.3985,0.1637
2007_000272,1,0,0.0,False,0.5078,0.3574,-0.1504
2010_005606,3,3,1.0,True,0.3086,0.4104,0.1018
2012_002144,1,0,0.0,False,0.1179,0.1154,-0.0025
2007_008647,1,0,0.0,False,0.0509,0.0623,0.0114
2008_005871,1,0,0.0,False,0.6815,0.7046,0.0231
2011_001111,2,1,0.5,True,0.0767,0.1686,0.0919
2010_004540,1,1,1.0,True,0.3212,0.0938,-0.2274
2010_000065,1,1,1.0,True,0.4948,0.4895,-0.0053
2008_002307,5,4,0.8,True,0.4927,0.5757,0.083
2010_000151,1,0,0.0,False,0.2029,0.1944,-0.0085
2008_003694,3,1,0.3333,False,0.2844,0.2902,0.0058
2008_004137,3,0,0.0,False,0.2495,0.2518,0.0023
2012_001974,1,0,0.0,False,0.2276,0.2278,0.0002
2008_003059,1,0,0.0,False,0.2643,0.2659,0.0016
2008_006797,2,1,0.5,True,0.5919,0.6058,0.0139
2008_006965,4,0,0.0,False,0.6225,0.5566,-0.0659
2012_001262,1,0,0.0,False,0.2329,0.2325,-0.0004
2009_000611,1,0,0.0,False,0.0013,0.0012,-0.0001
2010_001746,1,0,0.0,False,0.8063,0.8123,0.006
2011_005028,1,0,0.0,False,0.4673,0.4281,-0.0392
2009_003576,2,2,1.0,True,0.5444,0.4591,-0.0853
2009_002901,1,0,0.0,False,0.4937,0.5187,0.025
2010_004815,2,2,1.0,True,0.7075,0.9536,0.2461
2011_003447,1,0,0.0,False,0.5061,0.3619,-0.1442
2011_001793,3,3,1.0,True,0.0163,0.0596,0.0433
2011_005977,1,0,0.0,False,0.0922,0.0895,-0.0027
2012_004039,1,0,0.0,False,0.1054,0.1084,0.003
2011_006888,1,0,0.0,False,0.0685,0.0684,-0.0001
2008_006475,1,0,0.0,False,0.6404,0.6183,-0.0221
2010_000613,1,0,0.0,False,0.4086,0.4126,0.004
2009_004409,1,1,1.0,True,0.0957,0.9453,0.8496
2008_002716,1,0,0.0,False,0.3424,0.3394,-0.003
2010_006516,1,0,0.0,False,0.0186,0.0187,0.0001
2007_009346,2,2,1.0,True,0.9531,0.491,-0.4621
2009_004766,1,0,0.0,False,0.0446,0.6214,0.5768
2009_004129,1,0,0.0,False,0.2937,0.2825,-0.0112
2007_003367,8,8,1.0,True,0.3883,0.5829,0.1946
2008_003178,6,1,0.1667,False,0.1578,0.1694,0.0116
2008_002369,1,0,0.0,False,0.2111,0.2112,0.0001
2009_004686,1,0,0.0,False,0.2596,0.2597,0.0001
2008_002942,1,0,0.0,False,0.963,0.6128,-0.3502
2008_000552,2,0,0.0,False,0.1143,0.0937,-0.0206
2010_006003,2,2,1.0,True,0.2472,0.3844,0.1372
2008_003160,9,6,0.6667,True,0.3579,0.3689,0.011
2012_003815,1,0,0.0,False,0.0462,0.0426,-0.0036
2009_005272,1,0,0.0,False,0.52,0.5284,0.0084
2010_002628,2,0,0.0,False,0.2572,0.2595,0.0023
2012_001938,1,0,0.0,False,0.5253,0.5305,0.0052
2009_003732,4,4,1.0,True,0.4997,0.6527,0.153
2008_007225,9,9,1.0,True,0.4691,0.5317,0.0626
2012_001101,1,0,0.0,False,0.1879,0.19,0.0021
2010_000291,3,0,0.0,False,0.4077,0.4093,0.0016
2012_001117,2,2,1.0,True,0.2319,0.3568,0.1249
2011_004011,1,0,0.0,False,0.4239,0.0066,-0.4173
2009_002219,2,0,0.0,False,0.1244,0.1234,-0.001
2008_004697,4,1,0.25,False,0.2322,0.2407,0.0085
2008_004876,1,0,0.0,False,0.1088,0.0894,-0.0194
2011_005568,4,1,0.25,False,0.0879,0.2027,0.1148
2011_000551,2,2,1.0,True,0.4877,0.4453,-0.0424
2011_005058,1,0,0.0,False,0.2563,0.5972,0.3409
2011_004263,1,0,0.0,False,0.1365,0.1367,0.0002
2012_000745,1,0,0.0,False,0.0671,0.605,0.5379
2008_002058,1,0,0.0,False,0.014,0.429,0.415
2008_004977,1,0,0.0,False,0.4795,0.1599,-0.3196
2008_002482,3,3,1.0,True,0.3912,0.4373,0.0461
2011_003684,1,0,0.0,False,0.2129,0.2141,0.0012
2010_006598,4,1,0.25,False,0.2184,0.2509,0.0325
2008_005691,1,1,1.0,True,0.8569,0.2958,-0.5611
2010_000665,1,0,0.0,False,0.6281,0.7371,0.109
2009_002295,1,1,1.0,True,0.2861,0.0725,-0.2136
2009_002205,5,4,0.8,True,0.3946,0.4994,0.1048
2011_006699,5,4,0.8,True,0.2918,0.1793,-0.1125
2008_007749,1,0,0.0,False,0.2271,0.6132,0.3861
2011_004956,1,0,0.0,False,0.2424,0.591,0.3486
2009_001774,2,0,0.0,False,0.4321,0.4363,0.0042
2010_002631,1,0,0.0,False,0.567,0.5714,0.0044
2012_000442,1,0,0.0,False,0.1538,0.1546,0.0008
2010_000731,2,0,0.0,False,0.4121,0.4318,0.0197
2008_003476,4,4,1.0,True,0.2933,0.4147,0.1214
2011_006330,4,1,0.25,False,0.0989,0.1946,0.0957
2008_004945,3,1,0.3333,False,0.3703,0.4385,0.0682
2008_001814,2,2,1.0,True,0.3687,0.3725,0.0038
2007_006744,2,0,0.0,False,0.2323,0.1115,-0.1208
2008_004633,1,1,1.0,True,0.0845,0.0223,-0.0622
2009_005163,1,0,0.0,False,0.092,0.0919,-0.0001
2009_000686,2,1,0.5,True,0.2341,0.3163,0.0822
2011_003966,1,0,0.0,False,0.1967,0.1976,0.0009
2012_001954,1,0,0.0,False,0.0808,0.0813,0.0005
2012_001657,1,0,0.0,False,0.0046,0.0046,0.0
2009_003703,2,2,1.0,True,0.3396,0.8518,0.5122
2011_003585,4,0,0.0,False,0.2344,0.1542,-0.0802
2008_002357,1,0,0.0,False,0.3336,0.3346,0.001
2009_000579,4,0,0.0,False,0.2144,0.2152,0.0008
2011_002132,1,0,0.0,False,0.4603,0.4499,-0.0104
2007_001073,6,6,1.0,True,0.4381,0.5605,0.1224
2011_002887,2,0,0.0,False,0.2645,0.2253,-0.0392
2010_001753,2,1,0.5,True,0.2712,0.2818,0.0106
2011_007117,1,0,0.0,False,0.2876,0.2661,-0.0215
2010_003074,4,2,0.5,True,0.4669,0.4732,0.0063
2011_005017,1,0,0.0,False,0.1381,0.1388,0.0007
2012_002019,3,0,0.0,False,0.1249,0.1146,-0.0103
2008_008717,4,2,0.5,True,0.1974,0.2602,0.0628
