img_id,img_name,img_width,img_height,total_valid_instances,hard_instance_num,hard_instance_ratio,is_complex_image,complex_label,Point-only_mIoU,Box-only_mIoU,Point+Box(Adaptive)_mIoU
464824,000000464824.jpg,480,640,3,0,0.0,False,简单图片,0.8728,0.9004,0.8926
274708,000000274708.jpg,612,612,7,7,1.0,True,复杂图片,0.6231,0.7175,0.702
303713,000000303713.jpg,427,640,24,13,0.5417,True,复杂图片,0.6074,0.747,0.743
554266,000000554266.jpg,640,253,4,0,0.0,False,简单图片,0.4451,0.5504,0.649
424721,000000424721.jpg,500,375,7,2,0.2857,False,简单图片,0.6098,0.8005,0.8066
558213,000000558213.jpg,640,432,5,3,0.6,True,复杂图片,0.332,0.7133,0.7091
397279,000000397279.jpg,640,427,3,2,0.6667,True,复杂图片,0.6327,0.846,0.8507
462371,000000462371.jpg,500,401,11,4,0.3636,False,简单图片,0.4165,0.7006,0.7106
493334,000000493334.jpg,500,311,2,0,0.0,False,简单图片,0.6092,0.8885,0.9151
495448,000000495448.jpg,480,640,2,0,0.0,False,简单图片,0.5486,0.8886,0.8855
135410,000000135410.jpg,480,640,10,1,0.1,False,简单图片,0.3549,0.8129,0.7932
360393,000000360393.jpg,640,427,3,0,0.0,False,简单图片,0.943,0.9646,0.9645
189226,000000189226.jpg,640,427,1,0,0.0,False,简单图片,0.1472,0.9308,0.9303
226171,000000226171.jpg,640,480,7,0,0.0,False,简单图片,0.6905,0.9366,0.9131
528705,000000528705.jpg,426,640,2,0,0.0,False,简单图片,0.3286,0.9215,0.9381
541291,000000541291.jpg,640,426,2,0,0.0,False,简单图片,0.3533,0.7985,0.7175
276434,000000276434.jpg,640,427,11,2,0.1818,False,简单图片,0.4491,0.7025,0.7003
460967,000000460967.jpg,604,640,2,1,0.5,True,复杂图片,0.1768,0.834,0.8242
447088,000000447088.jpg,500,333,5,3,0.6,True,复杂图片,0.6106,0.8223,0.7545
445675,000000445675.jpg,480,640,1,1,1.0,True,复杂图片,0.9137,0.9055,0.907
150417,000000150417.jpg,640,480,12,3,0.25,False,简单图片,0.3737,0.7761,0.7131
264968,000000264968.jpg,334,500,8,3,0.375,False,简单图片,0.4986,0.8247,0.8364
290179,000000290179.jpg,640,426,5,4,0.8,True,复杂图片,0.7762,0.8383,0.8427
28993,000000028993.jpg,612,612,11,9,0.8182,True,复杂图片,0.5377,0.748,0.5471
328117,000000328117.jpg,480,640,11,0,0.0,False,简单图片,0.8083,0.8699,0.8701
79565,000000079565.jpg,500,375,2,2,1.0,True,复杂图片,0.826,0.8338,0.8345
322352,000000322352.jpg,500,375,14,2,0.1429,False,简单图片,0.4995,0.7365,0.7335
338304,000000338304.jpg,425,640,26,9,0.3462,False,简单图片,0.3981,0.6995,0.6852
115118,000000115118.jpg,640,427,1,0,0.0,False,简单图片,0.5804,0.8945,0.8935
304545,000000304545.jpg,640,522,1,0,0.0,False,简单图片,0.9162,0.9395,0.942
500270,000000500270.jpg,640,425,8,7,0.875,True,复杂图片,0.4987,0.7164,0.6004
363188,000000363188.jpg,640,425,17,4,0.2353,False,简单图片,0.4275,0.7814,0.7556
206025,000000206025.jpg,424,640,2,0,0.0,False,简单图片,0.5177,0.9375,0.929
373315,000000373315.jpg,477,640,2,2,1.0,True,复杂图片,0.4671,0.6952,0.6721
573943,000000573943.jpg,640,480,14,1,0.0714,False,简单图片,0.5939,0.8286,0.8168
78426,000000078426.jpg,500,334,3,1,0.3333,False,简单图片,0.8404,0.8438,0.8437
384651,000000384651.jpg,640,436,2,0,0.0,False,简单图片,0.8028,0.8713,0.873
281414,000000281414.jpg,443,640,3,2,0.6667,True,复杂图片,0.3486,0.8861,0.8554
245651,000000245651.jpg,375,500,1,0,0.0,False,简单图片,0.2286,0.9117,0.9196
365642,000000365642.jpg,426,640,7,1,0.1429,False,简单图片,0.4824,0.86,0.8491
269121,000000269121.jpg,480,640,2,1,0.5,True,复杂图片,0.5997,0.8252,0.8254
545407,000000545407.jpg,640,424,1,1,1.0,True,复杂图片,0.797,0.8361,0.8369
2431,000000002431.jpg,457,640,9,2,0.2222,False,简单图片,0.6057,0.7892,0.8126
345252,000000345252.jpg,640,479,5,3,0.6,True,复杂图片,0.3183,0.6789,0.6676
338718,000000338718.jpg,500,445,2,1,0.5,True,复杂图片,0.5705,0.8856,0.8916
23751,000000023751.jpg,430,640,1,1,1.0,True,复杂图片,0.7209,0.8719,0.8677
565877,000000565877.jpg,427,640,5,2,0.4,False,简单图片,0.4584,0.8785,0.8519
542089,000000542089.jpg,375,500,1,0,0.0,False,简单图片,0.8922,0.8994,0.9003
36861,000000036861.jpg,480,640,2,0,0.0,False,简单图片,0.5293,0.837,0.9217
390301,000000390301.jpg,500,364,1,0,0.0,False,简单图片,0.3742,0.8226,0.8194
384670,000000384670.jpg,640,480,3,1,0.3333,False,简单图片,0.6698,0.8875,0.8827
515266,000000515266.jpg,640,427,4,1,0.25,False,简单图片,0.5305,0.771,0.7565
437239,000000437239.jpg,640,425,12,8,0.6667,True,复杂图片,0.5616,0.7424,0.7556
459500,000000459500.jpg,375,500,4,2,0.5,True,复杂图片,0.686,0.7669,0.7597
224675,000000224675.jpg,400,300,5,1,0.2,False,简单图片,0.6771,0.8567,0.8417
322968,000000322968.jpg,480,640,1,0,0.0,False,简单图片,0.8538,0.8668,0.8701
246883,000000246883.jpg,640,480,4,2,0.5,True,复杂图片,0.5459,0.8672,0.8628
370900,000000370900.jpg,640,478,4,0,0.0,False,简单图片,0.4199,0.8105,0.8095
189752,000000189752.jpg,640,480,13,4,0.3077,False,简单图片,0.4931,0.7754,0.7746
257370,000000257370.jpg,640,480,6,4,0.6667,True,复杂图片,0.3189,0.7953,0.6649
257896,000000257896.jpg,480,640,2,0,0.0,False,简单图片,0.8976,0.9167,0.9131
150638,000000150638.jpg,640,469,18,2,0.1111,False,简单图片,0.5725,0.8135,0.8381
96427,000000096427.jpg,640,427,4,2,0.5,True,复杂图片,0.5223,0.8228,0.8689
142324,000000142324.jpg,640,480,20,13,0.65,True,复杂图片,0.4773,0.6881,0.67
40757,000000040757.jpg,425,640,3,0,0.0,False,简单图片,0.4734,0.8636,0.7366
333956,000000333956.jpg,428,640,2,0,0.0,False,简单图片,0.4989,0.9323,0.909
462643,000000462643.jpg,425,640,2,1,0.5,True,复杂图片,0.2117,0.8096,0.6344
400082,000000400082.jpg,500,283,4,1,0.25,False,简单图片,0.534,0.8519,0.8585
466567,000000466567.jpg,480,640,1,0,0.0,False,简单图片,0.024,0.9112,0.9254
540932,000000540932.jpg,640,480,9,9,1.0,True,复杂图片,0.6419,0.7632,0.6922
405691,000000405691.jpg,640,427,13,3,0.2308,False,简单图片,0.5397,0.7458,0.71
350488,000000350488.jpg,640,427,1,1,1.0,True,复杂图片,0.9105,0.9207,0.9231
312549,000000312549.jpg,640,480,0,0,0.0,False,简单图片,0.0,0.0,0.0
462728,000000462728.jpg,640,427,3,1,0.3333,False,简单图片,0.6984,0.8899,0.8872
283717,000000283717.jpg,640,480,3,0,0.0,False,简单图片,0.7923,0.93,0.9274
419408,000000419408.jpg,640,429,12,7,0.5833,True,复杂图片,0.6074,0.7609,0.7614
440508,000000440508.jpg,640,424,1,0,0.0,False,简单图片,0.7795,0.9064,0.8458
498747,000000498747.jpg,640,480,11,2,0.1818,False,简单图片,0.525,0.7629,0.7466
517687,000000517687.jpg,640,360,3,1,0.3333,False,简单图片,0.6183,0.9133,0.9134
185409,000000185409.jpg,640,424,12,4,0.3333,False,简单图片,0.6383,0.722,0.7274
58384,000000058384.jpg,640,466,4,1,0.25,False,简单图片,0.7558,0.8829,0.9045
464144,000000464144.jpg,426,640,2,2,1.0,True,复杂图片,0.4289,0.7289,0.733
344816,000000344816.jpg,640,427,1,0,0.0,False,简单图片,0.7942,0.9317,0.9276
222863,000000222863.jpg,640,427,1,1,1.0,True,复杂图片,0.9145,0.9392,0.9378
191672,000000191672.jpg,640,428,2,1,0.5,True,复杂图片,0.2575,0.7157,0.7183
128476,000000128476.jpg,640,427,13,1,0.0769,False,简单图片,0.3596,0.8157,0.7992
344029,000000344029.jpg,640,480,11,5,0.4545,False,简单图片,0.3547,0.7408,0.7254
56350,000000056350.jpg,612,612,10,3,0.3,False,简单图片,0.343,0.5498,0.6248
365521,000000365521.jpg,428,640,14,4,0.2857,False,简单图片,0.5461,0.7671,0.776
533493,000000533493.jpg,500,281,4,1,0.25,False,简单图片,0.6848,0.6245,0.7771
404839,000000404839.jpg,427,640,5,1,0.2,False,简单图片,0.5199,0.579,0.5967
297698,000000297698.jpg,640,441,6,5,0.8333,True,复杂图片,0.532,0.668,0.6482
566436,000000566436.jpg,640,427,2,0,0.0,False,简单图片,0.1548,0.8474,0.8329
459272,000000459272.jpg,480,640,11,7,0.6364,True,复杂图片,0.5325,0.7875,0.7698
263644,000000263644.jpg,473,640,1,0,0.0,False,简单图片,0.2286,0.5332,0.5199
143961,000000143961.jpg,640,356,21,4,0.1905,False,简单图片,0.407,0.7935,0.8136
412362,000000412362.jpg,640,499,7,0,0.0,False,简单图片,0.5306,0.8371,0.8455
436315,000000436315.jpg,478,640,1,0,0.0,False,简单图片,0.0013,0.8995,0.9033
51309,000000051309.jpg,640,360,4,4,1.0,True,复杂图片,0.6615,0.8039,0.698
449198,000000449198.jpg,500,333,0,0,0.0,False,简单图片,0.0,0.0,0.0
177861,000000177861.jpg,480,640,18,10,0.5556,True,复杂图片,0.6413,0.7649,0.7608
134886,000000134886.jpg,640,480,8,7,0.875,True,复杂图片,0.6286,0.7864,0.7206
466602,000000466602.jpg,480,640,3,3,1.0,True,复杂图片,0.4124,0.3933,0.4268
244592,000000244592.jpg,500,374,3,1,0.3333,False,简单图片,0.4739,0.8157,0.8365
323151,000000323151.jpg,480,640,5,2,0.4,False,简单图片,0.1543,0.5943,0.5918
388056,000000388056.jpg,500,332,12,5,0.4167,False,简单图片,0.4215,0.7431,0.7646
191845,000000191845.jpg,640,361,38,14,0.3684,False,简单图片,0.5872,0.7707,0.7565
185157,000000185157.jpg,426,640,6,4,0.6667,True,复杂图片,0.3488,0.6145,0.6105
187585,000000187585.jpg,640,436,2,1,0.5,True,复杂图片,0.3255,0.7812,0.782
100274,000000100274.jpg,640,427,8,4,0.5,True,复杂图片,0.4627,0.7612,0.7628
551215,000000551215.jpg,480,640,2,1,0.5,True,复杂图片,0.3061,0.814,0.7958
473974,000000473974.jpg,640,427,5,2,0.4,False,简单图片,0.6785,0.7948,0.7944
66561,000000066561.jpg,640,427,2,1,0.5,True,复杂图片,0.6476,0.9175,0.9191
384527,000000384527.jpg,640,480,27,15,0.5556,True,复杂图片,0.5055,0.6954,0.6287
322844,000000322844.jpg,480,640,2,0,0.0,False,简单图片,0.4335,0.7881,0.7583
367228,000000367228.jpg,333,500,2,1,0.5,True,复杂图片,0.4803,0.887,0.893
491497,000000491497.jpg,375,500,12,5,0.4167,False,简单图片,0.5476,0.8164,0.7926
27620,000000027620.jpg,640,480,7,3,0.4286,False,简单图片,0.6799,0.8392,0.8375
102707,000000102707.jpg,612,612,3,1,0.3333,False,简单图片,0.7657,0.8145,0.8402
133645,000000133645.jpg,640,427,7,4,0.5714,True,复杂图片,0.6132,0.7402,0.6523
245576,000000245576.jpg,640,472,6,1,0.1667,False,简单图片,0.499,0.8659,0.865
435003,000000435003.jpg,640,427,7,2,0.2857,False,简单图片,0.4967,0.8757,0.8774
418062,000000418062.jpg,427,640,5,1,0.2,False,简单图片,0.6498,0.7857,0.8033
468954,000000468954.jpg,640,427,7,1,0.1429,False,简单图片,0.4689,0.66,0.6713
308165,000000308165.jpg,425,640,2,1,0.5,True,复杂图片,0.372,0.8392,0.8333
243075,000000243075.jpg,640,573,1,0,0.0,False,简单图片,0.3898,0.9566,0.9575
161128,000000161128.jpg,375,500,12,7,0.5833,True,复杂图片,0.794,0.7776,0.7755
