img_id,img_name,Point-only_mIoU,Point(Adaptive)_mIoU,is_complex_image,complex_label
323263,000000323263.jpg,0.4599,0.4565,False,简单图片
474786,000000474786.jpg,0.6045,0.6797,False,简单图片
23126,000000023126.jpg,0.4354,0.5416,True,复杂图片
94751,000000094751.jpg,0.5465,0.5634,True,复杂图片
370375,000000370375.jpg,0.688,0.6972,False,简单图片
565989,000000565989.jpg,0.8817,0.8835,False,简单图片
125211,000000125211.jpg,0.9188,0.9304,False,简单图片
151000,000000151000.jpg,0.5793,0.5646,True,复杂图片
339823,000000339823.jpg,0.8329,0.7679,False,简单图片
544565,000000544565.jpg,0.5787,0.5591,False,简单图片
35326,000000035326.jpg,0.4176,0.2688,False,简单图片
94871,000000094871.jpg,0.6413,0.7294,True,复杂图片
562561,000000562561.jpg,0.7462,0.7445,False,简单图片
46463,000000046463.jpg,0.3507,0.3709,False,简单图片
463527,000000463527.jpg,0.4825,0.5667,False,简单图片
532901,000000532901.jpg,0.5364,0.5183,False,简单图片
189806,000000189806.jpg,0.4649,0.5842,False,简单图片
454661,000000454661.jpg,0.4302,0.4046,False,简单图片
549220,000000549220.jpg,0.5148,0.4473,False,简单图片
301061,000000301061.jpg,0.1597,0.5166,True,复杂图片
555005,000000555005.jpg,0.6056,0.5825,False,简单图片
176901,000000176901.jpg,0.281,0.3754,True,复杂图片
246968,000000246968.jpg,0.4265,0.4617,True,复杂图片
374727,000000374727.jpg,0.0,0.0,False,简单图片
102356,000000102356.jpg,0.2409,0.422,True,复杂图片
511453,000000511453.jpg,0.4191,0.6299,False,简单图片
109827,000000109827.jpg,0.8665,0.8662,False,简单图片
572462,000000572462.jpg,0.47,0.4412,False,简单图片
311392,000000311392.jpg,0.5974,0.6266,True,复杂图片
452122,000000452122.jpg,0.8706,0.867,True,复杂图片
370677,000000370677.jpg,0.5648,0.5297,True,复杂图片
286523,000000286523.jpg,0.0042,0.1788,True,复杂图片
356261,000000356261.jpg,0.0841,0.4667,True,复杂图片
13348,000000013348.jpg,0.6648,0.6331,True,复杂图片
57150,000000057150.jpg,0.4355,0.4782,False,简单图片
387383,000000387383.jpg,0.371,0.7132,True,复杂图片
406129,000000406129.jpg,0.7384,0.7711,True,复杂图片
394275,000000394275.jpg,0.3747,0.3907,False,简单图片
386352,000000386352.jpg,0.3309,0.4359,False,简单图片
117525,000000117525.jpg,0.6652,0.7348,False,简单图片
433774,000000433774.jpg,0.7296,0.5866,True,复杂图片
179765,000000179765.jpg,0.0308,0.1618,True,复杂图片
83113,000000083113.jpg,0.8579,0.8927,True,复杂图片
440171,000000440171.jpg,0.5206,0.1877,False,简单图片
